IP Address;Network;Name;vendor;Join Time;Join Days;Last Time;Last Days;Connected?;Critical State
10.1.1.190 ;0;Palletizer 1 (not found 2, deleted?) (not found 1, deleted?);Litton Industries  Inc.;null;null;null;null;true;2
10.1.1.81 ;0;UB606LAMP (not found 2, deleted?) (not found 1, deleted?);VMware  Inc. ;null;null;null;null;true;2
10.1.1.181 ;0;Open Loop Controller 21 (not found 2, deleted?) (not found 1, deleted?);Newport Electronics;null;null;null;null;false;2
10.1.1.180 ;0;RTU 212 (not found 2, deleted?) (not found 1, deleted?);Beck IPC;null;null;null;null;false;2
10.1.1.141 ;0;ArmorBlock I/O (not found 2, deleted?) (not found 1, deleted?);Rockwell Automation;null;null;null;null;true;3
10.1.1.185 ;0;FL IL 24 BK-ETH/IP-PAC (not found 2, deleted?) (not found 1, deleted?);Phoenix Contact Electronics;null;null;null;null;false;3
10.1.1.140 ;0;PLC Material Movement 23 (not found 2, deleted?) (not found 1, deleted?);Rockwell Automation;null;null;null;null;true;3
10.1.1.184 ;0;FL IL 24 BK-ETH/IP-PAC (not found 2, deleted?) (not found 1, deleted?);Phoenix Contact Electronics;null;null;null;null;false;3
10.1.1.142 ;0;PLC  23 I/O Rack 3 (not found 2, deleted?) (not found 1, deleted?);Rockwell Automation;null;null;null;null;true;3
10.1.1.144 ;0;PLC 23 I/O Rack 2 (not found 2, deleted?) (not found 1, deleted?);Rockwell Automation;null;null;null;null;true;3
10.1.1.188 ;0;N-TRON Managed Switch (not found 2, deleted?) (not found 1, deleted?);Red Lion Controls  LP;null;null;null;null;true;3
10.1.1.224 ;0;Lantronix EPS Print Server (not found 2, deleted?) (not found 1, deleted?);Lantronix;null;null;null;null;true;3
10.1.1.146 ;0;RTU 234 (not found 2, deleted?) (not found 1, deleted?);Zypcom  Inc ;null;null;null;null;true;2
10.1.1.106 ;0;OP Station 28 (not found 2, deleted?) (not found 1, deleted?);Jetway Information Co.  Ltd. ;null;null;null;null;true;2
10.1.1.38 ;0;AGSNVIVOSTRO (not found 2, deleted?) (not found 1, deleted?);Dell Inc.;null;null;null;null;true;2
10.1.1.1 ;0;Cisco Managed Switch (not found 2, deleted?) (not found 1, deleted?);Cisco Systems  Inc ;null;null;null;null;true;3
10.1.1.76 ;0;BILL-MACBOOK (not found 2, deleted?) (not found 1, deleted?);Apple  Inc.;null;null;null;null;true;1
10.1.1.77 ;0;Palletizer 2 (not found 2, deleted?) (not found 1, deleted?);Litton Industries  Inc.;null;null;null;null;true;2
10.1.1.78 ;0;Printer (not found 2, deleted?) (not found 1, deleted?);Brother industries  LTD.;null;null;null;null;false;3
10.1.1.79 ;0;no name (not found 2, deleted?) (not found 1, deleted?);;null;null;null;null;false;0
10.1.1.72 ;0;OP-JSAH-MACBOOK (not found 2, deleted?) (not found 1, deleted?);Apple  Inc.;null;null;null;null;false;1
10.1.1.73 ;0;VM Data Collection (not found 2, deleted?) (not found 1, deleted?);VMware  Inc.;null;null;null;null;false;2
10.1.1.74 ;0;NVI-G9CSA3TISQJ (not found 2, deleted?) (not found 1, deleted?);VMware  Inc. ;null;null;null;null;true;2
10.1.1.75 ;0;Eng. Tools Server (not found 2, deleted?) (not found 1, deleted?);VMware  Inc. ;null;null;null;null;true;2
10.1.1.70 ;0;FL Hub Agent (not found 2, deleted?) (not found 1, deleted?);Phoenix Contact Electronics;null;null;null;null;true;3
10.1.1.71 ;0;MARK-PC (not found 2, deleted?) (not found 1, deleted?);Quanta Computer Inc.;null;null;null;null;true;3
10.1.1.170 ;0;3Com SuperStack II Managed Switch (not found 2, deleted?) (not found 1, deleted?);3Com Corporation;null;null;null;null;false;3
10.1.1.172 ;0;Ethernet Direct Managed Switch (not found 2, deleted?) (not found 1, deleted?);Ethernet Direct Corporation;null;null;null;null;true;3
10.1.1.171 ;0;Dell Managed Switch (not found 2, deleted?) (not found 1, deleted?);Dell Inc.;null;null;null;null;true;3
10.1.1.250 ;0;Data Collector (not found 2, deleted?) (not found 1, deleted?);Dell Inc.;null;null;null;null;true;2
10.1.1.175 ;0;Cisco Manged Switch (not found 2, deleted?) (not found 1, deleted?);Cisco Systems  Inc ;null;null;null;null;true;3
10.1.1.252 ;0;Cisco Managed Switch (not found 2, deleted?) (not found 1, deleted?);Cisco Systems  Inc ;null;null;null;null;true;3
10.1.1.211 ;0;Op Station 23 (not found 2, deleted?) (not found 1, deleted?);Jetway Information Co.  Ltd.;null;null;null;null;true;2
10.1.1.210 ;0;IVA-SUPERVISOR (not found 2, deleted?) (not found 1, deleted?);Nexcom International Co.  Ltd.;null;null;null;null;true;3
10.1.1.137 ;0;Ethernet Direct Managed Switch (not found 2, deleted?) (not found 1, deleted?);Ethernet Direct Corporation;null;null;null;null;true;3
